DriverNumber,Driver,TeamName,Q1,Q2,Q3,Year,Round,FP1,FP2,FP3
8,Romain Grosjean,Haas F1 Team,89.724,89.678,89.761,2018,17,90.814,90.44,91.636
28,Brendon Hartley,Toro Rosso,90.248,89.848,90.023,2018,17,91.908,90.502,92.03
10,Pierre Gasly,Toro Rosso,90.137,89.81,90.093,2018,17,91.073,90.795,93.105
31,Esteban Ocon,Racing Point,89.899,89.538,90.126,2018,17,90.591,90.035,91.088
5,Sebastian Vettel,Ferrari,89.049,88.279,92.192,2018,17,89.685,89.05,89.715
11,Sergio Perez,Racing Point,90.247,89.567,97.229,2018,17,91.272,90.51,91.483
16,Charles Leclerc,Sauber,89.706,89.864,,2018,17,90.929,90.906,91.76
20,Kevin Magnussen,Haas F1 Team,90.219,90.226,,2018,17,91.274,90.956,91.521
55,Carlos Sainz,Renault,90.236,90.49,,2018,17,91.1,90.904,91.513
18,Lance Stroll,Williams,90.317,90.714,,2018,17,91.508,91.215,92.201
3,Daniel Ricciardo,Red Bull Racing,89.806,,,2018,17,89.373,89.513,90.474
27,Nico Hulkenberg,Renault,90.361,,,2018,17,91.418,90.644,92.224
35,Sergey Sirotkin,Williams,90.372,,,2018,17,92.513,91.087,92.631
14,Fernando Alonso,McLaren,90.573,,,2018,17,92.034,90.988,92.608
2,Stoffel Vandoorne,McLaren,91.041,,,2018,17,,91.981,93.034
9,Marcus Ericsson,Sauber,91.213,,,2018,17,91.073,90.478,92.442
44,Lewis Hamilton,Mercedes,94.13,93.48,92.237,2018,18,107.502,108.716,93.87
5,Sebastian Vettel,Ferrari,94.569,93.079,92.298,2018,18,109.489,113.912,93.797
7,Kimi Räikkönen,Ferrari,94.703,92.884,92.307,2018,18,109.928,113.443,93.843
77,Valtteri Bottas,Mercedes,94.518,93.702,92.616,2018,18,108.806,,94.556
3,Daniel Ricciardo,Red Bull Racing,94.755,94.185,93.494,2018,18,109.326,,94.91
31,Esteban Ocon,Racing Point,94.876,94.522,94.145,2018,18,111.655,115.348,95.562
27,Nico Hulkenberg,Renault,94.932,94.564,94.215,2018,18,111.717,112.208,95.882
8,Romain Grosjean,Haas F1 Team,94.892,94.419,94.25,2018,18,110.821,,95.468
16,Charles Leclerc,Sauber,95.069,94.255,94.42,2018,18,110.961,114.101,95.365
11,Sergio Perez,Racing Point,95.193,94.525,94.594,2018,18,111.459,114.963,95.411
55,Carlos Sainz,Renault,94.891,94.566,,2018,18,110.665,114.42,95.45
20,Kevin Magnussen,Haas F1 Team,94.972,94.732,,2018,18,111.614,,95.77
10,Pierre Gasly,Toro Rosso,94.85,,,2018,18,111.234,109.728,95.713
28,Brendon Hartley,Toro Rosso,95.206,,,2018,18,,112.505,96.33
33,Max Verstappen,Red Bull Racing,94.766,,,2018,18,108.847,109.798,94.703
14,Fernando Alonso,McLaren,95.294,,,2018,18,111.036,111.728,96.332
35,Sergey Sirotkin,Williams,95.362,,,2018,18,111.589,115.446,96.193
18,Lance Stroll,Williams,95.48,,,2018,18,111.896,114.637,96.188
9,Marcus Ericsson,Sauber,95.536,,,2018,18,111.016,113.07,96.0
2,Stoffel Vandoorne,McLaren,95.735,,,2018,18,,113.354,96.302
3,Daniel Ricciardo,Red Bull Racing,75.866,75.845,74.759,2018,19,77.139,76.873,77.028
33,Max Verstappen,Red Bull Racing,75.756,75.64,74.785,2018,19,76.656,76.72,76.284
44,Lewis Hamilton,Mercedes,75.673,75.644,74.894,2018,19,78.075,78.1,76.538
5,Sebastian Vettel,Ferrari,76.089,75.715,74.97,2018,19,78.746,77.954,76.566
77,Valtteri Bottas,Mercedes,75.58,75.923,75.16,2018,19,78.322,78.14,78.839
7,Kimi Räikkönen,Ferrari,76.446,75.996,75.33,2018,19,78.936,78.133,77.045
27,Nico Hulkenberg,Renault,76.498,76.126,75.827,2018,19,78.028,78.046,77.623
55,Carlos Sainz,Renault,76.813,76.188,76.084,2018,19,77.926,77.953,77.336
16,Charles Leclerc,Sauber,76.862,76.32,76.189,2018,19,,79.024,77.059
9,Marcus Ericsson,Sauber,76.701,76.633,76.513,2018,19,79.312,79.322,77.565
31,Esteban Ocon,Racing Point,76.252,76.844,,2018,19,,78.485,77.731
14,Fernando Alonso,McLaren,76.857,76.871,,2018,19,,79.543,78.548
11,Sergio Perez,Racing Point,76.242,77.167,,2018,19,79.124,78.167,77.819
28,Brendon Hartley,Toro Rosso,76.682,77.184,,2018,19,79.024,78.061,78.637
10,Pierre Gasly,Toro Rosso,76.828,,,2018,19,,79.047,77.525
8,Romain Grosjean,Haas F1 Team,76.911,,,2018,19,79.276,78.733,78.145
2,Stoffel Vandoorne,McLaren,76.966,,,2018,19,79.716,79.096,78.445
20,Kevin Magnussen,Haas F1 Team,77.599,,,2018,19,79.853,79.67,
18,Lance Stroll,Williams,77.689,,,2018,19,80.142,79.219,78.698
35,Sergey Sirotkin,Williams,77.886,,,2018,19,79.899,79.335,78.669
44,Lewis Hamilton,Mercedes,68.464,67.795,67.281,2018,20,69.107,68.849,68.165
5,Sebastian Vettel,Ferrari,68.452,67.776,67.374,2018,20,69.06,68.919,67.948
77,Valtteri Bottas,Mercedes,68.492,67.727,67.441,2018,20,69.679,68.846,68.465
7,Kimi Räikkönen,Ferrari,68.452,68.028,67.456,2018,20,69.573,69.412,68.49
33,Max Verstappen,Red Bull Racing,68.205,68.017,67.778,2018,20,69.011,69.339,68.733
3,Daniel Ricciardo,Red Bull Racing,68.544,68.055,67.78,2018,20,69.395,69.164,68.788
9,Marcus Ericsson,Sauber,68.754,68.579,68.296,2018,20,,70.532,69.808
16,Charles Leclerc,Sauber,68.667,68.335,68.492,2018,20,70.346,69.943,69.448
8,Romain Grosjean,Haas F1 Team,68.735,68.239,68.517,2018,20,69.922,69.769,69.257
10,Pierre Gasly,Toro Rosso,69.046,68.616,69.029,2018,20,70.934,70.33,69.402
20,Kevin Magnussen,Haas F1 Team,68.474,68.659,,2018,20,70.236,70.007,69.146
11,Sergio Perez,Racing Point,69.217,68.741,,2018,20,,70.32,70.116
31,Esteban Ocon,Racing Point,69.264,68.77,,2018,20,70.361,70.159,69.588
27,Nico Hulkenberg,Renault,69.009,68.834,,2018,20,70.679,71.674,69.461
35,Sergey Sirotkin,Williams,69.259,70.381,,2018,20,71.037,70.569,69.885
55,Carlos Sainz,Renault,69.269,,,2018,20,70.662,70.458,69.864
28,Brendon Hartley,Toro Rosso,69.28,,,2018,20,71.176,70.734,69.985
14,Fernando Alonso,McLaren,69.402,,,2018,20,,70.332,70.02
18,Lance Stroll,Williams,69.441,,,2018,20,70.799,70.662,70.001
2,Stoffel Vandoorne,McLaren,69.601,,,2018,20,71.452,70.596,70.289
44,Lewis Hamilton,Mercedes,96.828,95.693,94.794,2018,21,99.543,97.443,97.176
77,Valtteri Bottas,Mercedes,96.789,96.392,94.956,2018,21,99.452,97.236,97.933
5,Sebastian Vettel,Ferrari,96.775,96.345,95.125,2018,21,100.453,97.569,97.587
7,Kimi Räikkönen,Ferrari,97.01,96.735,95.365,2018,21,100.417,97.461,97.464
3,Daniel Ricciardo,Red Bull Racing,97.117,96.964,95.401,2018,21,98.945,97.428,98.09
33,Max Verstappen,Red Bull Racing,97.195,96.144,95.589,2018,21,98.491,97.28,97.747
8,Romain Grosjean,Haas F1 Team,97.575,96.732,96.192,2018,21,100.663,98.06,98.304
16,Charles Leclerc,Sauber,97.124,96.58,96.237,2018,21,,98.831,99.282
31,Esteban Ocon,Racing Point,96.936,96.814,96.54,2018,21,100.102,98.402,99.011
27,Nico Hulkenberg,Renault,97.569,96.63,96.542,2018,21,101.023,98.23,98.85
55,Carlos Sainz,Renault,97.757,96.982,,2018,21,100.588,98.511,98.97
9,Marcus Ericsson,Sauber,97.619,97.132,,2018,21,101.928,99.502,99.997
20,Kevin Magnussen,Haas F1 Team,97.934,97.309,,2018,21,100.235,98.318,99.612
11,Sergio Perez,Racing Point,97.255,97.541,,2018,21,101.075,98.806,99.053
14,Fernando Alonso,McLaren,97.89,97.743,,2018,21,102.313,98.725,99.974
28,Brendon Hartley,Toro Rosso,97.994,,,2018,21,101.137,98.957,99.074
10,Pierre Gasly,Toro Rosso,98.166,,,2018,21,100.671,98.506,99.74
2,Stoffel Vandoorne,McLaren,98.577,,,2018,21,102.114,99.938,100.233
35,Sergey Sirotkin,Williams,98.635,,,2018,21,,100.935,101.182
18,Lance Stroll,Williams,98.682,,,2018,21,101.493,100.046,100.117
